,baujahr,name,preis,baureihe,karrosserieform,kilometerstand,leistung,gewicht
0,2007,Saab 9-5 2,3.947,YS3E,Limousine (4-Türen),185.851,185,0
1,1984,Lancia Beta Coupe 1600,10.500,,Coupé,61.000,100,970
2,1957,Mercedes-Benz 220 S,150.000,W 180,Limousine (4-Türen),44.000,106,0
3,1990,Alfa Romeo 75 2,11.500,2a,Limousine (4-Türen),89.943,145,1200
4,1952,MG TD,38.000,,Cabriolet (Roadster),0,54,920
5,1994,Jaguar XJ12 6,13.500,X300,Limousine (4-Türen),70.605,311,0
6,2005,Aston Martin V12 Vanquish S,139.900,,Coupé,59.905,528,0
7,1951,Lancia Aurelia B10,19.500,,Limousine,0,56,0
8,1982,Alfa Romeo GTV 6 2,Auf Anfrage,,Coupé,0,158,0
9,1960,Jaguar XK 150 3,115.000,150,Cabriolet,114.764,269,0
10,1999,Land Rover Defender 90 Td5,33.982,,Geländewagen,0,122,0
11,2000,Porsche 911 Carrera,9.374,996,Coupé,61.211,300,1450
12,1968,Ford Escort 1100,29.295,Serie I,Limousine (2-Türen),55.000,40,0
13,1954,FIAT 500 C Belvedere,9.000,,Kombi,0,16,0
14,1979,Mercedes-Benz 280 SEL,29.500,W 116,Limousine (4-Türen),161.000,185,0
15,1995,Porsche 911 Carrera,107.000,993,Coupé,61.000,272,1450
16,2002,Porsche 911 Carrera 4S,61.000,996,Coupé,108.000,320,1450
17,2003,Porsche 911 Carrera 4S,61.000,996,Coupé,103.000,320,1450
18,2013,Porsche Boxster,51.000,981,Cabriolet (Roadster),70.000,265,1310
19,1997,Porsche Boxster,21.500,986,Cabriolet (Roadster),148.500,204,1300
20,1960,Mercedes-Benz 220 SE Cabriolet,89.995,W 128,Cabriolet,180.846,120,1400
21,1970,Porsche 911 2,95.000,"""Urmodell""",Coupé,12.400,180,1020
22,2018,Audi RS3 Sportback,39.000,8VA,Limousine (5-Türen),99.000,400,0
23,2018,Porsche 911 Targa 4 GTS,168.000,991.2,Cabriolet (Targa),10.915,450,0
24,1988,Alfa Romeo Huntsman Spyder,55.000,,Rennwagen (Roadster),0,175,0
25,2007,BMW Z4 ,27.900,E86,Coupé,79.800,265,1485
26,2019,Ford Mustang 5,Auf Anfrage,Mustang VI,Coupé (Fastback),72.476,450,0
27,2004,Porsche 911 Carrera,64.000,997.1,Coupé,189.226,325,0
28,1993,Mercedes-Benz SL 600,55.000,R 129,Cabriolet (Roadster),147.508,394,0
29,2002,Mercedes-Benz CL 600,29.631,C 215,Coupé,63.000,500,0
30,2013,Porsche Boxster,51.000,981,Cabriolet (Roadster),70.000,265,1310
31,1997,Porsche Boxster,21.500,986,Cabriolet (Roadster),148.500,204,1300
32,1960,Mercedes-Benz 220 SE Cabriolet,89.995,W 128,Cabriolet,180.846,120,1400
33,1970,Porsche 911 2,95.000,"""Urmodell""",Coupé,12.400,180,1020
34,2018,Audi RS3 Sportback,39.000,8VA,Limousine (5-Türen),99.000,400,0
35,2018,Porsche 911 Targa 4 GTS,168.000,991.2,Cabriolet (Targa),10.915,450,0
36,1988,Alfa Romeo Huntsman Spyder,55.000,,Rennwagen (Roadster),0,175,0
37,2007,BMW Z4 ,27.900,E86,Coupé,79.800,265,1485
38,2019,Ford Mustang 5,Auf Anfrage,Mustang VI,Coupé (Fastback),72.476,450,0
39,2004,Porsche 911 Carrera,64.000,997.1,Coupé,189.226,325,0
40,1993,Mercedes-Benz SL 600,55.000,R 129,Cabriolet (Roadster),147.508,394,0
41,2002,Mercedes-Benz CL 600,29.631,C 215,Coupé,63.000,500,0
42,1958,Mercedes-Benz 300 SL Roadster,Auf Anfrage,W 198 II,Cabriolet (Roadster),51.948,215,0
43,1971,Citroën DS 21 Pallas,24.950,DX,Limousine (4-Türen),97.719,115,0
44,1998,Volvo V 70 2,3.950,Typ L,Kombi,238.502,140,0
45,1959,BMW 503,379.000,Typ 503 Serie 2,Cabriolet,58.682,140,0
46,1972,FIAT 128,4.500,,Limousine (4-Türen),102.468,55,770
47,1948,FIAT 500 Topolino,22.700,,Cabriolet (Limousine),0,13,580
48,1993,Jaguar XJ 220,Auf Anfrage,,Coupé,0,549,0
49,1954,Dodge Firearrow II Ghia,Auf Anfrage,,Cabriolet,0,150,0
50,1938,Delahaye 135 MS Figoni,Auf Anfrage,,Cabriolet (Roadster),0,55,0
51,1958,BMW 507,Auf Anfrage,Typ 507,Cabriolet (Roadster),0,150,0
52,2016,Porsche 911 Carrera,110.000,991.2,Cabriolet,58.000,370,1500
53,2018,Porsche 911 GT3 Touring,189.000,991.2,Coupé,3.700,500,1430
54,2008,Porsche 911 Carrera 4S,69.000,997.2,Coupé,148.000,385,1555
55,2016,Porsche Macan S Diesel,45.000,95B,Geländewagen,125.000,258,1925
56,2002,Porsche Boxster,29.000,986,Cabriolet (Roadster),94.000,220,1300
57,2000,Porsche Boxster,23.000,986,Cabriolet (Roadster),158.000,220,1300
58,2014,Porsche Cayman,49.000,981c,Coupé,87.000,275,1385
59,2004,Porsche 911 Carrera,49.500,996,Coupé,55.000,320,1450
60,2002,Porsche Boxster,29.000,986,Cabriolet (Roadster),94.000,220,1300
61,2000,Porsche Boxster,23.000,986,Cabriolet (Roadster),158.000,220,1300
62,2014,Porsche Cayman,49.000,981c,Coupé,87.000,275,1385
63,2004,Porsche 911 Carrera,49.500,996,Coupé,55.000,320,1450
64,2004,Porsche Boxster S,41.500,986,Cabriolet (Roadster),76.000,265,1300
65,2016,Porsche 911 Targa 4S,149.000,991.2,Cabriolet (Targa),43.000,420,1520
66,1990,Porsche 911 Carrera 2,103.000,964,Coupé,150.000,250,1400
67,2001,Porsche Boxster S,32.500,986,Cabriolet (Roadster),98.000,252,1300
68,2007,Porsche 911 Turbo,104.000,997.1,Cabriolet,52.000,480,0
69,2000,Porsche 911 Carrera,42.000,996,Cabriolet,126.000,300,0
70,2003,Porsche 911 Carrera,45.000,996,Cabriolet,146.000,320,1300
71,1995,Porsche 911 Carrera,107.000,993,Coupé,61.000,272,1450
72,2002,Porsche 911 Carrera 4S,61.000,996,Coupé,108.000,320,1450
73,2003,Porsche 911 Carrera 4S,61.000,996,Coupé,103.000,320,1450
74,2013,Porsche Boxster,51.000,981,Cabriolet (Roadster),70.000,265,1310
75,2010,Ferrari 599 GTO,875.000,,Coupé,25.866,670,0
76,1994,Ferrari 348 Spider,95.000,,Cabriolet,52.000,320,0
77,1968,Ferrari 330 GTC,675.000,,Coupé,18.608,300,1300
78,1986,Ferrari 328 GTS,95.000,,Cabriolet (Targa),85.000,270,0
79,1960,Ferrari 250 GT Pininfarina Coupe,475.000,,Coupé,78.874,240,0
80,1954,Ferrari 250 GT Europa,Auf Anfrage,,Coupé,52.017,220,1300
81,1963,Ferrari 250 GT 2,425.000,,Coupé,97.750,240,0
82,1956,Ferrari 250 GT Boano,875.000,,Coupé,64.230,220,0
83,1967,FIAT Dino Spider,125.000,,Cabriolet,51.769,160,0
84,1951,FIAT 500 C Topolino,95.000,,Cabriolet (Limousine),60.968,16,0
85,1942,Alfa Romeo 6C 2500 Sport,Auf Anfrage,,Cabriolet (Roadster),0,95,0
86,1955,Alfa Romeo 1900 C Super Sprint Touring,Auf Anfrage,Typ 1900,Coupé,0,115,0
87,1989,Ferrari F40,Auf Anfrage,F 120,Coupé,43.000,479,0
88,2013,FIAT 500 C,6.950,,Cabriolet,139.682,100,0
89,1982,Porsche 928 S,34.950,928,Coupé,173.000,300,0
90,2019,Smart Fortwo,16.900,C 451,Kleinwagen,22.854,71,0
91,2017,Mercedes-Benz SL 63 AMG,89.900,R 231,Cabriolet (Roadster),80.413,537,0
92,1961,AC Greyhound,99.900,,Coupé,16.728,127,0
93,2007,Smart Roadster Brabus,29.900,452,Cabriolet (Roadster),2.950,101,0
94,2008,Mercedes-Benz CL 500,28.900,C 216,Coupé,138.000,388,0
95,1987,Ferrari 328 GTS,97.500,,Cabriolet (Targa),44.500,270,0
96,1980,Porsche 911 SC 3,77.500,"""G-Modell""",Coupé,165.500,180,0
97,2007,Ferrari 599 GTB Fiorano,139.500,,Coupé,50.000,620,0
98,1985,Porsche 911 Carrera 3,87.500,"""G-Modell""",Cabriolet,75.300,207,0
99,2002,Land Rover Defender 90 Td5,41.012,,Geländewagen,101.186,122,1700
100,1977,Triumph Dolomite Sprint,5.859,,Limousine,124.914,127,980
101,1957,Maserati 250F,21.092,,Rennwagen (Offen),0,245,600
102,2018,Chevrolet Camaro 6,93.743,Serie VI,Coupé,73.708,453,1650
103,1995,Nissan Skyline GTS25T,14.061,R33,Coupé,148.059,250,1360
104,2010,Renault Clio II 2,Auf Anfrage,III / Typ R,Kleinwagen,90.000,201,0
105,1969,Jaguar E-Type,65.000,Serie II,Coupé,68.937,210,0
106,1954,Jaguar XK 120 OTS,83.950,120,Cabriolet (Roadster),150.018,162,1150
107,1986,Aston Martin V8 Volante,179.950,,Cabriolet,66.668,305,1820
108,1977,Mercedes-Benz 450 SL,21.950,R 107,Cabriolet (Roadster),2.419,182,1650
109,1963,Citroën ID 19,16.950,DM,Limousine (4-Türen),17.596,74,1150
110,1968,Triumph TR 250,43.950,,Cabriolet,65.547,105,1030
111,1989,Mercedes-Benz 500 SL,29.950,R 129,Cabriolet (Roadster),177.573,326,1870
112,1970,FIAT 500 L,16.950,,Limousine (2-Türen),66.278,18,520
113,1997,Ferrari 550 Maranello,150.000,,Coupé,74.804,485,1690
114,1959,Maserati 3500 GT Touring,99.950,,Coupé,44.936,220,1460
115,1970,Mercedes-Benz 280 SL,99.800,W 113,Cabriolet (Roadster),48.502,170,0
116,1984,Ferrari Mondial Quattrovalvole,59.500,,Cabriolet,62.670,240,0
117,1971,Mercedes-Benz 200 D,49.000,W 115,Limousine,17.632,55,0
118,1953,Jaguar XK 120 DHC,129.500,120,Cabriolet,0,162,0
119,1960,Lancia Flaminia GT Touring,42.000,,Cabriolet,0,119,0
120,1969,Jaguar E-Type,65.000,Serie II,Coupé,68.937,210,0
121,1954,Jaguar XK 120 OTS,83.950,120,Cabriolet (Roadster),150.018,162,1150
122,1986,Aston Martin V8 Volante,179.950,,Cabriolet,66.668,305,1820
123,1977,Mercedes-Benz 450 SL,21.950,R 107,Cabriolet (Roadster),2.419,182,1650
124,1963,Citroën ID 19,16.950,DM,Limousine (4-Türen),17.596,74,1150
125,1968,Triumph TR 250,43.950,,Cabriolet,65.547,105,1030
126,1989,Mercedes-Benz 500 SL,29.950,R 129,Cabriolet (Roadster),177.573,326,1870
127,1970,FIAT 500 L,16.950,,Limousine (2-Türen),66.278,18,520
128,1997,Ferrari 550 Maranello,150.000,,Coupé,74.804,485,1690
129,1959,Maserati 3500 GT Touring,99.950,,Coupé,44.936,220,1460
130,1970,Mercedes-Benz 280 SL,99.800,W 113,Cabriolet (Roadster),48.502,170,0
131,1984,Ferrari Mondial Quattrovalvole,59.500,,Cabriolet,62.670,240,0
132,1971,Mercedes-Benz 200 D,49.000,W 115,Limousine,17.632,55,0
133,1953,Jaguar XK 120 DHC,129.500,120,Cabriolet,0,162,0
134,1960,Lancia Flaminia GT Touring,42.000,,Cabriolet,0,119,0
135,1967,Mercedes-Benz 230,23.500,W 110,Limousine (4-Türen),62.482,120,0
136,1965,Jaguar E-Type 4,300.000,Serie I,Cabriolet (Roadster),3.582,269,0
137,1934,FIAT 508 Balilla Serie 2,15.000,,Limousine (2-Türen),10.000,20,0
138,1973,MG Midget GAN5,14.000,Serie III,Cabriolet,95.000,65,0
139,1979,Volkswagen Käfer 1500,22.000,Typ 15,Cabriolet,70.000,44,0
140,1976,Autobianchi A112 Abarth,15.000,,Limousine (3-Türen),84.626,70,0
141,1950,Cisitalia 202 B Stabilimenti Farina,395.000,,Cabriolet (Roadster),3.000,76,0
142,2000,Ferrari 360 Modena,189.000,,Coupé,47.300,400,0
143,1967,FIAT Dino Coupe,40.900,,Coupé,73.118,160,0
144,1957,Alfa Romeo 1900 CSS Ghia-Aigle,275.000,Typ 1900,Coupé,56.000,115,0
145,1964,Jaguar Mk II 3,26.500,,Limousine (4-Türen),120.000,224,0
146,1963,FIAT 500 D,19.000,,Cabriolet,2.000,18,0
147,2006,Ferrari F430 Spider,242.000,F 131,Cabriolet,57.800,490,0
148,1972,Ferrari Dino 246 GT,395.000,E Series,Coupé,32.571,195,0
149,2002,Maserati Spyder 4200,65.900,M138,Cabriolet,36.200,390,0
150,2010,Ferrari 430 Scuderia,221.950,F 131,Coupé,36.000,510,0
151,1993,BMW 850CSi,78.990,E31,Coupé,115.300,380,0
152,2004,BMW M3,50.990,E46,Coupé,92.100,343,0
153,2013,BMW 116i,6.990,E81,Limousine (3-Türen),165.643,122,0
154,1935,Horch 855,790.000,,Cabriolet (Roadster),1.001,100,0
155,1967,BMW 2000 CS,44.500,Typ 120,Coupé,107.370,120,0
156,2001,Mercedes-Benz SL 500,26.500,R 129,Cabriolet (Roadster),81.500,306,0
157,1966,FIAT 500 F,9.950,,Limousine (2-Türen),8.275,18,0
158,1966,Maserati Sebring 4000 GTiS,Auf Anfrage,Serie II,Coupé,44.506,255,0
159,1952,Panhard Dyna Sport Barchetta,Auf Anfrage,,Cabriolet (Rennwagen),26.395,55,0
160,1988,BMW 320is,39.000,E30,Limousine (4-Türen),106.000,192,0
161,1968,Porsche 911 2,155.000,"""Urmodell""",Cabriolet (Targa),38.376,160,0
162,1972,Porsche 911 2,118.000,"""Urmodell""",Coupé,77.621,165,0
163,1963,Lancia Flaminia GT 2,108.000,,Cabriolet,19.672,150,0
164,1993,Porsche 911 Speedster,245.000,964,Cabriolet (Roadster),50.950,250,0
165,1977,Triumph Spitfire 1500,16.500,,Cabriolet,78.558,72,820
166,1980,MG MGB,22.950,B Serie IV,Cabriolet (Roadster),107.509,86,1040
167,1971,FIAT 500 Moretti Minimaxi,6.950,,Cabriolet,100.000,18,500
168,1962,Devin C,29.950,,Cabriolet (Roadster),13.625,80,0
169,1990,BMW Z1,85.994,E 30 (Z),Cabriolet (Roadster),13.155,170,0
170,1962,FIAT 1100 Special,7.700,,Limousine (4-Türen),16.547,55,0
171,2002,Chrysler PT Cruiser 2,9.000,,Limousine (5-Türen),33.138,141,0
172,1971,Volkswagen Kübel 1600,13.700,Typ 181,Geländewagen (Offen),95.791,44,0
173,2019,Abarth 695 70,27.000,,Kleinwagen (City car),28.980,180,0
174,2001,Renault Clio II V6,74.500,Phase I,Kleinwagen,73.276,226,0
175,1965,Volkswagen Käfer 1200 A,17.500,Typ 11,Limousine (2-Türen),26.000,34,0
176,1964,FIAT 600 D,7.900,,Limousine (2-Türen),80.143,31,0
177,2002,Smart Crossblade,22.950,A 450,Cabriolet (Roadster),13.280,70,0
178,1981,Volkswagen T3 Bus L 2,21.000,Typ 2,Bus,59.990,70,0
179,1983,Bedford CF 250,17.800,CF1,Bus (Wohnmobil),28.960,60,0
180,2002,Maserati Spyder 4200,65.900,M138,Cabriolet,36.200,390,0
181,1976,Zagato Zele 1000,20.900,,Kleinwagen,2.000,5,0
182,1966,Lancia Flaminia GT 2,137.000,,Cabriolet,75.000,150,0
183,1969,Abarth Fiat 595 Esseesse,34.900,,Limousine (2-Türen),0,32,500
184,1960,Maserati 3500 GT Touring,Auf Anfrage,,Coupé,6.500,220,1460
185,1987,Ferrari Mondial 3,49.950,,Coupé,86.623,271,1410
186,1952,Citroën Traction Avant 11 BN Normale,25.950,11 CV,Limousine (4-Türen),20.002,56,1050
187,1977,Triumph Spitfire 1500,16.500,,Cabriolet,78.558,72,820
188,1980,MG MGB,22.950,B Serie IV,Cabriolet (Roadster),107.509,86,1040
189,1971,FIAT 500 Moretti Minimaxi,6.950,,Cabriolet,100.000,18,500
190,1962,Devin C,29.950,,Cabriolet (Roadster),13.625,80,0
191,1990,BMW Z1,85.994,E 30 (Z),Cabriolet (Roadster),13.155,170,0
192,1962,FIAT 1100 Special,7.700,,Limousine (4-Türen),16.547,55,0
193,2002,Chrysler PT Cruiser 2,9.000,,Limousine (5-Türen),33.138,141,0
194,1971,Volkswagen Kübel 1600,13.700,Typ 181,Geländewagen (Offen),95.791,44,0
195,1966,Lancia Flaminia GT 2,137.000,,Cabriolet,75.000,150,0
196,1969,Abarth Fiat 595 Esseesse,34.900,,Limousine (2-Türen),0,32,500
197,1960,Maserati 3500 GT Touring,Auf Anfrage,,Coupé,6.500,220,1460
198,1987,Ferrari Mondial 3,49.950,,Coupé,86.623,271,1410
199,1952,Citroën Traction Avant 11 BN Normale,25.950,11 CV,Limousine (4-Türen),20.002,56,1050
200,1977,Triumph Spitfire 1500,16.500,,Cabriolet,78.558,72,820
201,1980,MG MGB,22.950,B Serie IV,Cabriolet (Roadster),107.509,86,1040
202,1971,FIAT 500 Moretti Minimaxi,6.950,,Cabriolet,100.000,18,500
203,1962,Devin C,29.950,,Cabriolet (Roadster),13.625,80,0
204,1990,BMW Z1,85.994,E 30 (Z),Cabriolet (Roadster),13.155,170,0
205,1962,FIAT 1100 Special,7.700,,Limousine (4-Türen),16.547,55,0
206,2002,Chrysler PT Cruiser 2,9.000,,Limousine (5-Türen),33.138,141,0
207,1971,Volkswagen Kübel 1600,13.700,Typ 181,Geländewagen (Offen),95.791,44,0
208,2019,Abarth 695 70,27.000,,Kleinwagen (City car),28.980,180,0
209,2001,Renault Clio II V6,74.500,Phase I,Kleinwagen,73.276,226,0
210,2019,Abarth 695 70,27.000,,Kleinwagen (City car),28.980,180,0
211,2001,Renault Clio II V6,74.500,Phase I,Kleinwagen,73.276,226,0
212,1965,Volkswagen Käfer 1200 A,17.500,Typ 11,Limousine (2-Türen),26.000,34,0
213,1964,FIAT 600 D,7.900,,Limousine (2-Türen),80.143,31,0
214,2002,Smart Crossblade,22.950,A 450,Cabriolet (Roadster),13.280,70,0
215,1981,Volkswagen T3 Bus L 2,21.000,Typ 2,Bus,59.990,70,0
216,1983,Bedford CF 250,17.800,CF1,Bus (Wohnmobil),28.960,60,0
217,2013,Ferrari 458 Spider,250.000,,Cabriolet,17.950,570,0
218,1984,Land Rover 88,20.000,Serie III,Geländewagen,85.851,77,0
219,1967,Austin Gipsy,6.900,,Geländewagen,50.000,62,1270
220,1993,Alpine A 610 3000,75.000,,Coupé,27.192,250,1420
221,1968,MG Magnette  Mark IV,29.950,BMC ADO38,Limousine,54.048,68,1110
222,1967,Mercedes-Benz 200,8.950,W 110,Limousine (4-Türen),96.654,95,1400
223,1969,Jaguar E-Type,99.950,Serie II,Cabriolet (Roadster),62.946,265,1290
224,1971,Ford Mustang Mach 1,26.950,Mustang I Serie 4 | H-Code,Coupé (Fastback),52.234,243,1240
225,1939,BMW 327,169.950,Typ 327,Cabriolet,51.646,55,1100
226,1965,Bentley S 3,34.950,,Limousine (4-Türen),175.949,200,2200
227,1958,Austin-Healey 100,58.950,,Cabriolet,67.507,117,910
228,1966,Volkswagen T1 Samba,99.950,Typ 2 T1,Bus,21.507,44,0
229,1965,Volkswagen T1 Samba,119.950,Typ 2 T1,Bus,56.026,44,0
230,1965,Volkswagen T1 Kombi,59.950,Typ 2 T1,Bus (Kombi),21.288,44,0
231,1986,Porsche 911 Turbo 3,115.000,930,Coupé,92.440,300,1140
232,1990,BMW 318is,22.850,E30,Limousine (2-Türen),120.000,136,0
233,1969,Mercedes-Benz 280 SE,34.000,W 108,Limousine (4-Türen),87.769,160,0
234,1973,Jaguar E-Type V12,79.950,Serie III,Cabriolet (Roadster),32.670,268,1530
235,1979,Bentley T 2,35.000,,Limousine (4-Türen),95.049,220,2230
236,1973,MG MGB,16.950,B Serie III,Cabriolet (Roadster),47.663,96,1010
237,1992,Porsche 911 Carrera RS,Auf Anfrage,964,Coupé,0,260,1400
238,1979,Porsche 924,15.000,924,Coupé,75.000,125,0
239,1971,Opel Admiral 2,25.000,KAD B,Limousine (4-Türen),75.000,145,0
240,1979,Lancia Beta Spider 2000,7.250,,Cabriolet (Targa),0,119,1110
241,2010,Volkswagen Golf VI 1,Auf Anfrage,Typ 1K,Limousine (4-Türen),17.703,122,0
242,1985,Mercedes-Benz 380 SE,18.000,W 126,Limousine (4-Türen),194.000,204,1595
243,1977,Jaguar XJ 12 L,25.000,Serie II,Limousine (4-Türen),193.000,285,1740
244,1972,Volvo P 144 GL,12.500,Y-A,Limousine,155.000,124,1180
245,1989,Lancia Delta,3.900,831,Limousine (4-Türen),99.000,75,955
246,1982,Porsche 911 SC 3,68.000,"""G-Modell""",Coupé,7.013,180,0
247,1983,FIAT Ritmo 130 TC Abarth,19.500,,Limousine (3-Türen),89.000,131,0
248,1964,Lancia Flavia 1,27.000,,Coupé,0,92,1210
249,1962,O,Auf Anfrage,,Coupé,0,95,800
250,1990,Jaguar XJS 5,35.000,Series II,Cabriolet,0,281,0
251,1987,Porsche 911 Carrera 3,72.000,"""G-Modell""",Cabriolet,117.000,217,1140
252,1966,Alfa Romeo 1600 Spider Duetto,72.000,Tipo 105 - Serie 1a,Cabriolet (Roadster),103.000,109,990
253,1961,Alfa Romeo 2000 Spider,120.000,,Cabriolet,0,115,1250
254,1970,Lancia Fulvia Coupe Rallye,25.000,Serie I,Coupé,78.000,87,930
255,1978,Bitter CD,69.500,,Coupé,120.000,230,0
256,1994,Mercedes-Benz E 200,35.000,A 124,Cabriolet,66.184,136,0
257,1981,Ferrari 308 GTBi,89.267,,Coupé,67.565,205,1320
258,1968,Triumph Spitfire Sport Special,9.950,MK III,Cabriolet,61.561,75,0
259,2009,Mini Cooper S,11.900,R57,Cabriolet,158.641,174,0
260,1972,MG MGB,16.900,B Serie III,Cabriolet (Roadster),38.536,96,0
261,1969,FIAT 500 Francis Lombardi,11.900,,Kleinwagen (Limousine),76.953,18,0
262,2012,Mini Cooper Countryman,11.900,R60,Geländewagen,164.242,122,0
263,1979,Toyota Land Cruiser BJ 43,46.000,,Geländewagen,99.999,80,0
264,1968,Ford Cortina 1300,8.500,MKII,Limousine,0,54,0
265,2001,Toyota Land Cruiser HZJ 74,54.450,J70,Geländewagen,93.300,131,0
266,2006,Aston Martin DBR9 GT1,Auf Anfrage,,Rennwagen,0,600,0
267,1976,Porsche 911 Carrera 3,83.000,"""G-Modell""",Coupé,99.000,200,0
268,1979,Lancia Beta Spider 2000,7.250,,Cabriolet (Targa),0,119,1110
269,2010,Volkswagen Golf VI 1,Auf Anfrage,Typ 1K,Limousine (4-Türen),17.703,122,0
270,1979,Lancia Beta Spider 2000,7.250,,Cabriolet (Targa),0,119,1110
271,2010,Volkswagen Golf VI 1,Auf Anfrage,Typ 1K,Limousine (4-Türen),17.703,122,0
272,1985,Mercedes-Benz 380 SE,18.000,W 126,Limousine (4-Türen),194.000,204,1595
273,1977,Jaguar XJ 12 L,25.000,Serie II,Limousine (4-Türen),193.000,285,1740
274,1972,Volvo P 144 GL,12.500,Y-A,Limousine,155.000,124,1180
275,1989,Lancia Delta,3.900,831,Limousine (4-Türen),99.000,75,955
276,1982,Porsche 911 SC 3,68.000,"""G-Modell""",Coupé,7.013,180,0
277,1983,FIAT Ritmo 130 TC Abarth,19.500,,Limousine (3-Türen),89.000,131,0
278,1964,Lancia Flavia 1,27.000,,Coupé,0,92,1210
279,1962,O,Auf Anfrage,,Coupé,0,95,800
280,1990,Jaguar XJS 5,35.000,Series II,Cabriolet,0,281,0
281,1987,Porsche 911 Carrera 3,72.000,"""G-Modell""",Cabriolet,117.000,217,1140
282,1966,Alfa Romeo 1600 Spider Duetto,72.000,Tipo 105 - Serie 1a,Cabriolet (Roadster),103.000,109,990
283,1961,Alfa Romeo 2000 Spider,120.000,,Cabriolet,0,115,1250
284,1970,Lancia Fulvia Coupe Rallye,25.000,Serie I,Coupé,78.000,87,930
285,1965,Ford Mustang 289,58.000,Mustang I Serie 1 | C-Code,Cabriolet,0,203,0
286,1969,Ford F-250,17.500,Serie V,Pickup,98.620,215,0
287,1957,Morris Minor 1000,5.853,Series III,Limousine,0,38,760
288,1996,Porsche 911 Carrera,Auf Anfrage,993,Coupé (Targa),0,286,1450
289,2008,Ferrari 612 Scaglietti,85.534,,Coupé,0,540,1800
290,2013,Morgan Plus Four,44.522,,Cabriolet (Roadster),0,258,1012
291,1976,Autobianchi 500 Nuova Giardiniera,13.000,Type 120,Kleinwagen (Kombi),71.843,18,0
292,1964,AC Cobra 289,Auf Anfrage,Mk II,Cabriolet (Roadster),0,275,1050
293,1980,Land Rover 109,Auf Anfrage,Serie III,Geländewagen (Offen),106.815,73,0
294,2004,Porsche 911 Carrera 4,28.117,996,Cabriolet,119.896,320,1300
295,2014,Porsche 911 Carrera S,62.099,991.1,Cabriolet,86.748,400,1470
296,1967,Alfa Romeo 1600 Spider Duetto,46.865,Tipo 105 - Serie 1a,Cabriolet (Roadster),13.346,109,990
297,1969,Citroën HY,Auf Anfrage,Typ H,Bus,0,58,1400
298,1963,Studebaker GT Hawk,Auf Anfrage,,Coupé,0,112,1600
299,1972,Peugeot 504 Break,15.900,,Kombi,60.000,93,1230
300,2009,Mercedes-Benz SLK 200 Kompressor,15.997,R 171,Cabriolet (Roadster),147.614,184,0
301,1962,Lancia Flaminia Berlina,2.897,,Limousine (4-Türen),21.362,102,0
302,1936,Hanomag Rekord,21.889,15 K,Limousine (2-Türen),35.805,32,0
303,1958,Jaguar XK 150 SE OTS,98.000,150,Cabriolet (Roadster),40.233,213,0
304,1988,Rolls-Royce Corniche II,120.000,,Cabriolet,69.656,200,0
305,1967,Austin-Healey 3000 Mk III,85.000,ADO 26,Cabriolet (Roadster),23.057,148,0
306,1958,Jaguar 3,36.000,,Limousine,22.000,210,0
307,1977,Jaguar XJ 6 C 4,28.000,Serie II,Coupé,106.000,172,0
308,1982,Mercedes-Benz 300 GD,55.000,W 460,Geländewagen (Cabriolet),110.000,88,1935
309,1972,Lancia Fulvia Coupe HF 1,50.000,,Coupé,21.000,115,0
310,1959,FIAT 600 Multipla,55.900,,Bus,0,22,750
311,2000,Ferrari 360 Modena,79.950,,Coupé,125.900,400,0
312,1972,Lotus Elan Sprint,Auf Anfrage,,Cabriolet,135.828,126,680
313,2001,Lotus Esprit V8 SE,66.900,,Coupé,45.000,354,1308
314,1951,Daimler DB 18,Auf Anfrage,,Cabriolet,69.921,71,1650
315,1958,Jaguar XK 150 SE OTS,98.000,150,Cabriolet (Roadster),40.233,213,0
316,1988,Rolls-Royce Corniche II,120.000,,Cabriolet,69.656,200,0
317,1967,Austin-Healey 3000 Mk III,85.000,ADO 26,Cabriolet (Roadster),23.057,148,0
318,1958,Jaguar 3,36.000,,Limousine,22.000,210,0
319,1977,Jaguar XJ 6 C 4,28.000,Serie II,Coupé,106.000,172,0
320,1982,Mercedes-Benz 300 GD,55.000,W 460,Geländewagen (Cabriolet),110.000,88,1935
321,1972,Lancia Fulvia Coupe HF 1,50.000,,Coupé,21.000,115,0
322,1959,FIAT 600 Multipla,55.900,,Bus,0,22,750
323,2000,Ferrari 360 Modena,79.950,,Coupé,125.900,400,0
324,1972,Lotus Elan Sprint,Auf Anfrage,,Cabriolet,135.828,126,680
325,2001,Lotus Esprit V8 SE,66.900,,Coupé,45.000,354,1308
326,1951,Daimler DB 18,Auf Anfrage,,Cabriolet,69.921,71,1650
327,1953,Austin A 40 Sports,Auf Anfrage,ADO 8,Cabriolet,0,50,970
328,1930,Ford Modell A,Auf Anfrage,,Pickup,88.689,40,1100
329,2007,Aston Martin V12 Vanquish S Ultimate Edition,Auf Anfrage,,Coupé,32.402,528,1875
330,1990,Mercedes-Benz 560 SEC,28.000,C 126,Coupé,155.443,300,1550
331,1977,Mercedes-Benz 450 SLC Rally,30.000,C 107,Coupé,154.000,225,0
332,1962,Jaguar E-Type 3,Auf Anfrage,Serie I,Coupé,12.000,269,1290
333,1953,FIAT 1100-103,11.500,,Limousine,88.000,40,820
334,1971,FIAT 500 L,4.300,,Limousine (2-Türen),70.000,18,520
