,baujahr,name,preis,baureihe,karrosserieform,kilometerstand,leistung,gewicht
7966,1977,Lancia Beta Spider 1600,19.950,Tipo 828 2a,Cabriolet (Targa),1.000,100,1050
7967,1969,Jaguar E-Type,35.950,Serie II,Coupé,0,210,1290
7968,1984,Citroën 2 CV 6 Charleston,16.950,,Limousine (4-Türen),0,29,600
7969,1967,Autobianchi Bianchina Panoramica,8.950,3a,Kleinwagen (Kombi),0,18,585
7970,2013,Mercedes-Benz E 250 CDI,12.884,A 207,Cabriolet,93.173,204,0
7971,1964,Porsche 356 C 1600,185.000,C,Cabriolet,15.180,75,930
7972,1968,Mercedes-Benz 280 SL,89.500,R 107,Cabriolet (Roadster),22.779,185,0
7973,1991,Alfa Romeo 2,22.500,Tipo 115 - Serie 4,Cabriolet,107.675,120,0
7974,1976,Maserati Merak SS,69.950,Tipo AM 122,Coupé,2.263,220,0
7975,1957,Heinkel Trojan 200,28.950,Typ 154,Kleinwagen,31.724,10,0
7976,1974,ISO Rivolta Lele,65.500,,Coupé,72.523,325,0
7977,1966,Maserati Mistral 4000,164.950,,Coupé,43.703,255,0
7978,1965,Citroën DS 19 Usine,215.000,DS,Cabriolet,41.745,83,0
7979,1973,Jensen Interceptor MK III,141.500,MK III,Coupé,3.132,330,0
7980,1973,Datsun 240 Z,55.000,S30,Coupé,140.231,151,0
7981,2000,Bentley Azure,144.950,Serie I,Cabriolet,19.001,389,0
7982,1973,Triumph TR 6 PI,26.500,,Cabriolet (Roadster),15.972,125,1030
7983,1970,Mercedes-Benz 280 SE,369.000,W 111,Cabriolet,60.488,160,0
7984,1965,Mercedes-Benz 230 SL,132.500,W 113,Cabriolet,29.032,150,0
7985,1972,Porsche 911 Carrera RS 2,485.000,"""Urmodell""",Coupé,89.005,210,0
7986,2005,Porsche 911 Carrera 4S,54.900,991.1,Coupé,66.678,400,0
7987,1963,Jaguar E-Type 3,333.900,Serie I,Coupé,0,269,0
7988,2018,Aston Martin Vanquish S Volante,216.721,,Cabriolet (Roadster),18.668,603,0
7989,1957,FIAT 1200 Cabriolet,21.500,,Cabriolet,0,58,905
7990,1956,Bentley S 1,15.850,,Limousine (4-Türen),0,135,1970
7991,1952,Alvis TA 21,23.950,,Cabriolet,0,83,1400
7992,1991,Jaguar XJS 5,Auf Anfrage,Series III,Coupé,0,281,0
7993,1970,Porsche 911 2,72.889,"""Urmodell""",Coupé,78.200,110,0
7994,1967,Aston Martin DB 6 Vantage Volante,Auf Anfrage,,Cabriolet,0,330,0
7995,1958,Chevrolet Corvette,89.950,C1,Cabriolet,136.794,233,1300
7996,1990,Lancia Delta HF Integrale,36.950,831,Limousine (4-Türen),85.828,177,0
7997,2016,Lamborghini Centenario,339.000,,Nutzfahrzeug (Traktor),0,39,0
