Unnamed: 0,baujahr,name,preis,baureihe,karosserieform,kilometerstand,leistung,gewicht
4811,2002,Mercedes-Benz SLK 200 Kompressor,14.500,R 170,Cabriolet (Roadster),72.2,163,1300
4812,1960,FIAT 500 D,19.000,,Limousine (2-Türen),79.6,18,510
4813,2006,Porsche 911 Carrera 4S,73.000,997.1,Cabriolet,123.0,355,1395
4814,1971,Alfa Romeo Giulia 1300 Super,18.900,,Limousine (4-Türen),109.5,89,1050
4815,2009,Alfa Romeo 8C Competizione,365.000,,Coupé,4.828,450,1585
4816,2021,Alfa Romeo Giulia GTAm,265.000,Tipo 952,Limousine (4-Türen),0.0,540,1520
4817,2017,Alfa Romeo 4C Spider,91.500,,Cabriolet (Roadster),7.135,241,1030
4818,1992,Lancia Delta HF Integrale Evoluzione I,220.000,831,Limousine (4-Türen),0.0,210,1000
4819,1974,BMW 2002 turbo,135.000,E20,Limousine (2-Türen),65.578,170,1050
4820,1974,Alfa Romeo 2000 GT Veloce,55.000,Tipo 105,Coupé,61.034,131,1040
4826,2004,Porsche 911 Carrera,62.000,996,Coupé,93.0,345,1450
4827,1976,Ferrari 308 GTB,165.000,,Coupé,52.361,227,1320
4859,1972,Lancia Fulvia,11.750,Serie II,Limousine,0.0,87,930
4861,2004,Porsche 911 Carrera,34.900,996,Cabriolet,104.5,320,1300
4867,1980,Ferrari 512 BB,351.476,,Coupé,93.342,360,1400
4890,2006,Morgan Roadster V6,54.900,,Cabriolet (Roadster),35.2,226,1025
4891,1989,Porsche 944 Turbo,24.000,951,Coupé,0.0,250,1300
4898,1967,Austin-Healey 3000 Mk III,59.500,ADO 26,Cabriolet (Roadster),0.0,148,1100
4899,1973,MG MGB,16.950,B Serie III,Cabriolet (Roadster),0.0,96,1010
4900,1967,Daimler V8-250,24.500,,Limousine (4-Türen),0.0,140,1370
4902,1964,Citroën ID 19,44.750,DM,Limousine (4-Türen),0.0,74,1150
4903,1954,Chevrolet Corvette,78.500,C1,Cabriolet,0.0,155,1300
4904,1937,MG TA,34.500,,Cabriolet (Roadster),0.0,50,800
4905,1934,Jaguar SS 1,125.000,,Cabriolet (Tourer),0.0,68,1340
4906,1968,Triumph TR 250,39.500,,Cabriolet,0.0,105,1030
4907,1954,MG TF,28.500,,Cabriolet (Roadster),0.0,57,910
4909,1957,Citroën 2 CV  AZ,11.950,,Limousine (4-Türen),0.0,12,600
4910,1968,Triumph TR 5 PI,54.500,,Cabriolet,0.0,150,1030
4911,1968,Jaguar 340,29.500,,Limousine (4-Türen),0.0,210,1480
4912,1969,Chevrolet Corvette Stingray,98.990,C3 Serie II,Cabriolet,0.0,390,1400
